OPIS Truckstop ID,Truckstop Name,Address,City,State,Rack ID,Retail Price,Latitude,Longitude
67543,PETRO-CANADA,HWY 97,Fort St John,BC,850,4.35113072,56.2440155,-120.8679443
67550,PETRO-CANADA,QEW EXIT 88/89,Hamilton                                ,ON,430,3.65338686,43.276797,-80.027986
67550,PETRO-CANADA,QEW EXIT 88/89,Hamilton                                ,ON,430,3.61747561,43.276797,-80.027986
67550,PETRO-CANADA,QEW EXIT 88/89,Hamilton                                ,ON,430,3.65284821,43.276797,-80.027986
67550,PETRO-CANADA,QEW EXIT 88/89,Hamilton                                ,ON,430,3.61933947,43.276797,-80.027986
67550,PETRO-CANADA,QEW EXIT 88/89,Hamilton                                ,ON,430,3.64612848,43.276797,-80.027986
67550,PETRO-CANADA,QEW EXIT 88/89,Hamilton                                ,ON,430,3.58883539,43.276797,-80.027986
67556,PETRO-CANADA,"HWY 401, EXIT 611",Kingston                                ,ON,410,3.7575457,44.263277,-76.524396
67556,PETRO-CANADA,"HWY 401, EXIT 611",Kingston                                ,ON,410,3.7567164,44.263277,-76.524396
67556,PETRO-CANADA,"HWY 401, EXIT 611",Kingston                                ,ON,410,3.82028205,44.263277,-76.524396
67556,PETRO-CANADA,"HWY 401, EXIT 611",Kingston                                ,ON,410,3.75588747,44.263277,-76.524396
67556,PETRO-CANADA,"HWY 401, EXIT 611",Kingston                                ,ON,410,3.48002694,44.263277,-76.524396
67556,PETRO-CANADA,"HWY 401, EXIT 611",Kingston                                ,ON,410,3.76502588,44.263277,-76.524396
67560,PETRO-CANADA,"HWY-401, EXIT 320 & HWY-8",Milton                                  ,ON,970,3.39394131,30.208407,-91.825362
67560,PETRO-CANADA,"HWY-401, EXIT 320 & HWY-8",Milton                                  ,ON,970,3.39643942,30.208407,-91.825362
67560,PETRO-CANADA,"HWY-401, EXIT 320 & HWY-8",Milton                                  ,ON,970,3.45801858,30.208407,-91.825362
67560,PETRO-CANADA,"HWY-401, EXIT 320 & HWY-8",Milton                                  ,ON,970,3.45114834,30.208407,-91.825362
67560,PETRO-CANADA,"HWY-401, EXIT 320 & HWY-8",Milton                                  ,ON,970,3.45750874,30.208407,-91.825362
67560,PETRO-CANADA,"HWY-401, EXIT 320 & HWY-8",Milton                                  ,ON,970,3.39469036,30.208407,-91.825362
67566,CIRCLE K,"HWYY 407, EXIT 48",Mississauga,ON,720,3.31798054,43.570452,-79.626636
67566,CIRCLE K,"HWYY 407, EXIT 48",Mississauga,ON,720,3.22688923,43.570452,-79.626636
67566,CIRCLE K,"HWYY 407, EXIT 48",Mississauga,ON,720,3.2571269,43.570452,-79.626636
67566,CIRCLE K,"HWYY 407, EXIT 48",Mississauga,ON,720,3.23474054,43.570452,-79.626636
67566,CIRCLE K,"HWYY 407, EXIT 48",Mississauga,ON,720,3.22760141,43.570452,-79.626636
67566,CIRCLE K,"HWYY 407, EXIT 48",Mississauga,ON,720,3.22831391,43.570452,-79.626636
67568,PETRO-CANADA,"HWY 403, EXIT 109",Burlington                              ,ON,970,3.31041527,43.36162,-79.796209
67568,PETRO-CANADA,"HWY 403, EXIT 109",Burlington                              ,ON,970,3.31114588,43.36162,-79.796209
67568,PETRO-CANADA,"HWY 403, EXIT 109",Burlington                              ,ON,970,3.31846981,43.36162,-79.796209
67568,PETRO-CANADA,"HWY 403, EXIT 109",Burlington                              ,ON,970,3.31285191,43.36162,-79.796209
67568,PETRO-CANADA,"HWY 403, EXIT 109",Burlington                              ,ON,970,3.31187682,43.36162,-79.796209
67570,PETRO-CANADA,"HWY-401, EXIT 328 & HWY-3",Hornby,ON,970,3.39543974,43.760573,-111.844891
67570,PETRO-CANADA,"HWY-401, EXIT 328 & HWY-3",Hornby,ON,970,3.33899404,43.760573,-111.844891
67570,PETRO-CANADA,"HWY-401, EXIT 328 & HWY-3",Hornby,ON,970,3.58883539,43.760573,-111.844891
67570,PETRO-CANADA,"HWY-401, EXIT 328 & HWY-3",Hornby,ON,970,3.34071441,43.760573,-111.844891
